deployment,withdrawal,5.88,145,76
energy,crisis,5.94,151,73
announcement,news,7.56,265,43
announcement,effort,2.75,41,279
stroke,hospital,7.03,229,76
disability,death,5.47,128,76
victim,emergency,6.47,189,76
treatment,recovery,7.91,290,258
journal,association,4.97,109,243
doctor,personnel,5,110,29
doctor,liability,5.19,118,13
liability,insurance,7.03,229,247
school,center,3.44,61,314
reason,hypertension,2.31,29,76
reason,criterion,5.91,147,76
hundred,percent,7.38,246,39
Harvard,Yale,8.13,308,76
hospital,infrastructure,4.63,99,244
death,row,5.25,119,76
death,inmate,5.03,114,76
lawyer,evidence,6.69,202,50
life,death,7.88,288,230
life,term,4.5,95,241
word,similarity,4.75,101,299
board,recommendation,4.47,92,76
governor,interview,3.25,55,60
OPEC,country,5.63,133,76
peace,atmosphere,3.69,66,34
peace,insurance,2.94,45,23
territory,kilometer,5.28,121,76
travel,activity,5,110,8
competition,price,6.44,186,67
consumer,confidence,4.13,84,76
consumer,energy,4.75,101,76
problem,airport,2.38,30,232
car,flight,4.94,107,35
credit,card,8.06,300,37
credit,information,5.31,122,47
hotel,reservation,8.03,299,233
grocery,money,5.94,151,277
registration,arrangement,6,157,11
arrangement,accommodation,5.41,126,76
month,hotel,1.81,18,346
type,kind,8.97,342,42
arrival,hotel,6,157,318
bed,closet,6.72,206,76
closet,clothes,8,295,76
situation,conclusion,4.81,105,20
situation,isolation,3.88,75,27
impartiality,interest,5.16,117,76
direction,combination,2.25,28,41
street,place,6.44,186,246
street,avenue,8.88,339,319
street,block,6.88,221,58
street,children,4.94,107,317
listing,proximity,2.56,35,264
listing,category,6.38,183,285
cell,phone,7.81,284,76
production,hike,1.75,16,76
benchmark,index,4.25,85,76
media,trading,3.88,75,45
media,gain,2.88,43,36
dividend,payment,7.63,273,76
dividend,calculation,6.48,191,76
calculation,computation,8.44,323,76
currency,market,7.5,260,259
OPEC,oil,8.59,331,76
oil,stock,6.34,179,338
announcement,production,3.38,59,38
announcement,warning,6,157,289
profit,warning,3.88,75,268
profit,loss,7.63,273,236
dollar,yen,7.78,283,76
dollar,buck,9.22,349,297
dollar,profit,7.38,246,24
dollar,loss,6.09,163,22
computer,software,8.5,327,292
network,hardware,8.31,315,76
phone,equipment,7.13,235,76
equipment,maker,5.91,147,44
luxury,car,6.47,189,76
five,month,3.38,59,348
report,gain,3.63,64,54
investor,earning,7.13,235,282
liquid,water,7.89,289,76
baseball,season,5.97,155,316
game,victory,7.03,229,308
game,team,7.69,277,265
marathon,sprint,7.47,257,76
game,series,6.19,164,262
game,defeat,6.97,225,295
seven,series,3.56,63,267
seafood,sea,7.47,257,76
seafood,food,8.34,318,76
seafood,lobster,8.7,334,76
lobster,food,7.81,284,4
lobster,wine,5.7,138,76
food,preparation,6.22,169,330
video,archive,6.34,179,76
start,year,4.06,82,72
start,match,4.47,92,59
game,round,5.97,155,25
boxing,round,7.61,271,15
championship,tournament,8.36,320,266
fighting,defeating,7.41,250,301
line,insurance,2.69,39,309
day,summer,3.94,80,229
summer,drought,7.16,237,76
summer,nature,5.63,133,46
day,dawn,7.53,263,242
nature,environment,8.31,315,3
environment,ecology,8.81,336,76
nature,man,6.25,171,340
man,woman,8.3,314,21
man,governor,5.25,119,298
murder,manslaughter,8.53,329,76
soap,opera,7.94,293,307
opera,performance,6.88,221,269
life,lesson,5.94,151,76
focus,life,4.06,82,251
production,crew,6.25,171,275
television,film,7.72,280,341
lover,quarrel,6.19,164,76
viewer,serial,2.97,47,56
possibility,girl,1.94,23,76
population,development,3.75,72,281
morality,importance,3.31,56,12
morality,marriage,3.69,66,284
Mexico,Brazil,7.44,254,76
gender,equality,6.41,184,76
change,attitude,5.44,127,76
family,planning,6.25,171,65
opera,industry,2.63,37,256
sugar,approach,0.88,6,17
practice,institution,3.19,54,339
ministry,culture,4.69,100,75
problem,challenge,6.75,209,14
size,prominence,5.31,122,261
country,citizen,7.31,243,263
planet,people,5.75,139,255
development,issue,3.97,81,240
experience,music,3.47,62,249
music,project,3.63,64,254
glass,metal,5.56,130,32
aluminum,metal,7.83,286,260
chance,credibility,3.88,75,76
exhibit,memorabilia,5.31,122,303
concert,virtuoso,6.81,213,76
rock,jazz,7.59,269,7
museum,theater,7.19,238,311
observation,architecture,4.38,88,326
space,world,6.53,193,345
preservation,world,6.19,164,250
admission,ticket,7.69,277,57
shower,thunderstorm,6.31,176,76
shower,flood,6.03,160,76
weather,forecast,8.34,318,76
disaster,area,6.25,171,76
governor,office,6.34,179,315
architecture,century,3.78,73,70
